               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.042758,            0.038922,           0.0065072,             0.51028,             0.68732,             0.57604,             0.29556,            0.048931,            0.030136,             0.01113,            0.007426,            0.007426,            0.007426
                  54,             0.04496,            0.040193,           0.0076036,              0.5256,             0.70159,             0.60863,             0.32258,            0.044853,            0.030385,            0.011654,           0.0073765,           0.0073765,           0.0073765
                  55,            0.040263,            0.038187,           0.0076966,             0.61928,             0.60377,             0.60765,             0.32742,            0.043681,             0.03074,            0.011129,            0.007327,            0.007327,            0.007327
                  56,            0.038848,            0.038292,            0.006055,             0.57814,             0.63492,             0.60906,             0.29504,            0.046034,             0.03048,            0.010669,           0.0072775,           0.0072775,           0.0072775
                  57,            0.044102,            0.041595,            0.006043,             0.60304,             0.64127,             0.60687,             0.31877,            0.042336,            0.029697,            0.012334,            0.007228,            0.007228,            0.007228
                  58,             0.03873,            0.034861,           0.0062299,             0.53062,             0.67937,             0.57993,             0.29758,            0.047648,            0.029915,            0.012535,           0.0071785,           0.0071785,           0.0071785
                  59,            0.045068,            0.036361,           0.0068013,             0.67277,             0.64127,             0.66596,             0.33761,            0.042278,            0.030427,            0.013459,            0.007129,            0.007129,            0.007129
                  60,             0.03651,            0.036113,           0.0060454,             0.58802,             0.77768,              0.6647,             0.39051,            0.041635,            0.029678,            0.012486,           0.0070795,           0.0070795,           0.0070795
                  61,            0.039153,              0.0402,           0.0060059,             0.55886,             0.76297,             0.65603,             0.32723,             0.04248,            0.030405,            0.012168,             0.00703,             0.00703,             0.00703
                  62,            0.036718,             0.03132,           0.0050053,             0.62356,             0.74034,              0.6663,             0.36746,            0.044416,            0.030392,            0.012129,           0.0069805,           0.0069805,           0.0069805
                  63,            0.040081,            0.035364,           0.0060168,             0.61626,              0.7619,             0.66989,              0.3858,            0.042723,            0.029998,            0.014007,            0.006931,            0.006931,            0.006931
                  64,            0.037311,            0.036224,           0.0059716,               0.502,             0.78416,             0.59297,              0.3242,            0.042563,            0.030552,            0.012947,           0.0068815,           0.0068815,           0.0068815
                  65,            0.036702,            0.038594,           0.0060082,              0.6297,             0.69997,              0.6493,             0.33402,            0.043949,            0.030505,            0.012944,            0.006832,            0.006832,            0.006832
                  66,            0.038691,            0.034257,           0.0053149,             0.64845,             0.79909,             0.69391,             0.39818,            0.041002,            0.030821,             0.01214,           0.0067825,           0.0067825,           0.0067825
